,0
0,"daily_trading_volume_usd"
1,"deposit_transactions"
2,"network_growth"
3,"payments_count"
4,"transaction_volume_in_loss"
5,"transaction_volume_in_profit"
6,"transaction_volume_profit_loss_ratio"
7,"transaction_volume_usd"
8,"transactions_count"
9,"velocity"
10,"withdrawal_transactions"
