,0
0,"adjusted_price_daa_divergence"
1,"daily_trading_volume_usd"
2,"deposit_transactions"
3,"mean_realized_price_usd_1d"
4,"mean_realized_price_usd_30d"
5,"mean_realized_price_usd_7d"
6,"mvrv_usd_1d"
7,"mvrv_usd_30d"
8,"mvrv_usd_7d"
9,"mvrv_usd_90d"
10,"network_growth"
11,"payments_count"
12,"percent_of_total_supply_in_profit"
13,"realized_value_usd_1d"
14,"realized_value_usd_30d"
15,"realized_value_usd_7d"
16,"sentiment_volume_consumed_total"
17,"transaction_volume_in_loss"
18,"transaction_volume_in_profit"
19,"transaction_volume_profit_loss_ratio"
20,"transaction_volume_usd"
21,"transactions_count"
22,"velocity"
23,"withdrawal_transactions"
