,0
0,"average_transfer_5m"
1,"bitfinex_perpetual_funding_rate"
2,"deposit_transactions_5m"
3,"exchange_inflow"
4,"exchange_outflow"
5,"median_transfer_5m"
6,"mvrv_usd_intraday_1d"
7,"mvrv_usd_intraday_30d"
8,"mvrv_usd_intraday_7d"
9,"mvrv_usd_intraday_90d"
10,"network_profit_loss"
11,"price_btc"
12,"price_usd"
13,"price_volatility_1d"
14,"price_volatility_1w"
15,"sentiment_balance_total"
16,"sentiment_negative_total"
17,"sentiment_positive_total"
18,"social_dominance_total"
19,"social_volume_ai_total"
20,"social_volume_total"
21,"transaction_volume"
22,"unique_social_volume_total_5m"
23,"usdt_binance_funding_rate"
24,"volume_usd"
25,"whale_transaction_count_100k_usd_to_inf"
26,"withdrawal_transactions_5m"
