,0
0,"adjusted_price_daa_divergence"
1,"daily_avg_price_usd"
2,"daily_closing_price_usd"
3,"daily_high_price_usd"
4,"daily_low_price_usd"
5,"daily_opening_price_usd"
6,"daily_trading_volume_usd"
7,"mean_realized_price_usd_1d"
8,"mean_realized_price_usd_30d"
9,"mean_realized_price_usd_7d"
10,"mvrv_usd_1d"
11,"mvrv_usd_30d"
12,"mvrv_usd_7d"
13,"mvrv_usd_90d"
14,"payments_count"
15,"realized_value_usd_1d"
16,"realized_value_usd_30d"
17,"realized_value_usd_7d"
18,"sentiment_volume_consumed_total"
19,"stock_to_flow"
20,"transaction_volume_usd"
21,"transactions_count"
22,"transaction_volume_in_loss"
23,"transaction_volume_in_profit"
24,"transaction_volume_profit_loss_ratio"
25,"velocity"
